time_s,pos_x,pos_y,theta,lateral_error,angular_w,target_y
9.7900001,4.6517839797967975,0.00163795875034332,-0.003829954402255909,-0.0009131540725912594,0.4915082745637385,0.0
9.8000001,4.656783912349569,0.0016119882336927981,-0.005194126685421967,0.00016588173821926056,0.324374270196033,0.0
9.8100001,4.661783912154905,0.001610593014011982,-0.0002790439397845814,2.469348594320797e-05,-0.04225770173904292,0.0
9.8200001,4.666783890181325,0.0016254164861078384,0.0029646987621757487,-0.0006294214303754919,-0.19875216061711193,0.0
9.8300001,4.671783874025376,0.0016381270811416325,0.0025421217447853194,-0.002582695846618144,-0.5963131082592681,0.0
9.8400001,4.676783873256423,0.0016409000816925497,0.0005546001386142001,-0.0043437042755821945,-0.5456773457915439,0.0
9.8500001,4.681783800126084,0.0016138575588153534,-0.00540853094397848,-0.00451653201436871,-0.06991444969342964,0.0
9.8600001,4.6867835049918884,0.0015595321057177158,-0.01086530440189392,-0.0031006649155003022,0.4123574699985212,0.0
9.8700001,4.691783170654419,0.0015017111500388479,-0.011564448898828216,-0.004447842952198114,-0.38764253000147886,0.0
9.8800001,4.696783032238535,0.0014645071223569918,-0.007440874198843005,-0.002816506933123769,0.4123574699985212,0.0
9.8900001,4.701782712038783,0.001407921832800025,-0.011317299498857793,-0.0027635888255640533,0.004821076965658533,0.0
9.9000001,4.7067825826651495,0.001371953519032302,-0.007193724798872581,-0.0007057349455162753,0.6145332242322683,0.0
9.9100001,4.711782455019765,0.0013362262529173661,-0.007145514029215996,0.0005406367795108267,0.3760740646261739,0.0
9.9200001,4.716782452518856,0.0013312253448166875,-0.0010001817868933128,-0.001133080565252965,-0.42392593537382617,0.0
9.9300001,4.721782433467156,0.0013450281215824113,0.002760558859368426,-0.0019902227514102377,-0.2651035468528228,0.0
9.9400001,4.726782428000769,0.0013376346218049453,-0.0014787004943698362,-0.0027564356105744345,-0.24088960019155678,0.0
9.9500001,4.731782385364032,0.0013169860006833106,-0.004129735962898064,-0.0026316538685657864,0.02690790712833127,0.0
9.9600001,4.736782278480143,0.0012842930738177125,-0.006538631964813631,-0.002459654481933743,0.0417611980618781,0.0
9.9700001,4.741782180212231,0.0012529455147156203,-0.006269552893530319,-0.0033211004232792086,-0.2717181840967566,0.0
9.9800001,4.7467820945994434,0.0012236859771515764,-0.005851940912911538,-0.004381867067937189,-0.33575746166914294,0.0
9.9900001,4.751781911025905,0.0011808408877381933,-0.008569122753879103,-0.0037007254452359837,0.18953958502941776,0.0
10.0000001,4.756781555414845,0.001121208814647209,-0.011926697370570533,-0.0039368117469563944,-0.0865731375039488,0.0
10.0100001,4.761781303849429,0.0010710531482248284,-0.010031301520276354,-0.0035059319825460774,0.1152402013929108,0.0
10.0200001,4.766781006989052,0.001016569062051616,-0.010897032895315843,-0.0041490179511450166,-0.2095218623842618,0.0
10.0300001,4.771780769596353,0.0009678466787485316,-0.009744630881386735,-0.002864427547611655,0.3739194108695619,0.0
10.0400001,4.776780419145355,0.0009086488143245349,-0.011839849505229353,-0.0033018107840612335,-0.1444222140711185,0.0
10.0500001,4.7817802550947075,0.0008681459803154229,-0.008100655396533735,-0.0017597658654397567,0.455574412124684,0.0
10.0600001,4.786780027334719,0.000820422317278466,-0.009544877537244919,-0.0029146465366310867,-0.344425587875316,0.0
